inventory_id,product_id,stock_level,reorder_level,warehouse,inventory_date
INV00036,P0039,340.00,66,Delhi Wh,2025-03-31
INV00037,P0054,18.00,46,Delhi Wh,2025-03-31
INV00038,P0022,396.00,140,Mumbai Wh,2025-03-31
INV00039,P0063,190.00,60,Mumbai Wh,2025-03-31
INV00040,P0042,288.00,59,Mumbai Wh,2025-03-31
INV00041,P0006,337.00,137,Delhi Wh,2025-03-31
INV00042,P0060,329.00,51,Bengaluru Wh,2025-03-31
INV00043,P0010,114.00,85,Delhi Wh,2025-03-31
INV00044,P0016,339.00,49,Delhi Wh,2025-03-31
INV00045,P0031,56.00,116,Pune Wh,2025-03-31
INV00046,P0070,446.00,30,Mumbai Wh,2025-03-31
INV00047,P0067,323.00,48,Kolkata Wh,2025-03-31
INV00048,P0003,419.00,56,Pune Wh,2025-03-31
INV00049,P0041,280.00,75,Pune Wh,2025-03-31
INV00050,P0058,262.00,30,Kolkata Wh,2025-03-31
INV00051,P0005,144.00,84,Mumbai Wh,2025-06-30
INV00052,P0041,28.00,57,Delhi Wh,2025-06-30
INV00053,P0017,165.00,48,Pune Wh,2025-06-30
INV00054,P0063,96.00,49,Pune Wh,2025-06-30
INV00055,P0073,342.00,72,Bengaluru Wh,2025-06-30
INV00056,P0064,441.00,44,Delhi Wh,2025-06-30
INV00057,P0028,447.00,79,Kolkata Wh,2025-06-30
INV00058,P0065,476.00,33,Pune Wh,2025-06-30
INV00059,P0055,48.00,63,Delhi Wh,2025-06-30
INV00060,P0061,309.00,71,Delhi Wh,2025-06-30
INV00061,P0040,,31,Bengaluru Wh,2025-06-30
INV00062,P0042,165.00,103,Delhi Wh,2025-06-30
INV00063,P0029,99.00,96,Kolkata Wh,2025-06-30
INV00064,P0066,209.00,113,Kolkata Wh,2025-06-30
INV00065,P0051,236.00,110,Kolkata Wh,2025-06-30
INV00066,P0056,242.00,39,Delhi Wh,2025-06-30
INV00067,P0069,490.00,115,Kolkata Wh,2025-06-30
INV00068,P0008,174.00,106,Bengaluru Wh,2025-06-30
INV00069,P0039,201.00,108,Bengaluru Wh,2025-06-30
INV00070,P0031,433.00,130,Mumbai Wh,2025-06-30
INV00071,P0030,373.00,89,Mumbai Wh,2025-06-30
INV00072,P0006,259.00,77,Pune Wh,2025-06-30
INV00073,P0058,236.00,135,Bengaluru Wh,2025-06-30
INV00074,P0059,465.00,132,Delhi Wh,2025-06-30
INV00075,P0002,53.00,121,Pune Wh,2025-06-30
INV00076,P0062,377.00,118,Kolkata Wh,2025-06-30
INV00077,P0075,346.00,117,Pune Wh,2025-06-30
INV00078,P0016,395.00,60,Kolkata Wh,2025-06-30
INV00079,P0072,234.00,59,Kolkata Wh,2025-06-30
INV00080,P0023,181.00,41,Bengaluru Wh,2025-06-30
INV00081,P0020,130.00,78,Kolkata Wh,2025-06-30
INV00082,P0049,161.00,53,Mumbai Wh,2025-06-30
INV00083,P0053,197.00,40,Pune Wh,2025-06-30
INV00084,P0025,100.00,101,Mumbai Wh,2025-06-30
INV00085,P0036,265.00,101,Kolkata Wh,2025-06-30
INV00086,P0044,337.00,102,Kolkata Wh,2025-06-30
INV00087,P0014,139.00,72,Pune Wh,2025-06-30
INV00088,P0054,222.00,140,Kolkata Wh,2025-06-30
INV00089,P0021,300.00,52,Mumbai Wh,2025-06-30
INV00090,P0012,70.00,144,Kolkata Wh,2025-06-30
INV00092,P0007,460.00,98,Bengaluru Wh,2025-06-30
INV00093,P0048,258.00,76,Bengaluru Wh,2025-06-30
INV00094,P0070,11.00,73,Pune Wh,2025-06-30
INV00095,P0009,457.00,147,Delhi Wh,2025-06-30
INV00096,P0050,343.00,57,Bengaluru Wh,2025-06-30
INV00097,P0004,63.00,103,Bengaluru Wh,2025-06-30
INV00098,P0037,429.00,131,Delhi Wh,2025-06-30
INV00099,P0032,479.00,77,Pune Wh,2025-06-30
INV00100,P0013,167.00,121,Delhi Wh,2025-06-30
INV00101,P0025,285.00,146,Kolkata Wh,2025-09-30
INV00102,P0010,16.00,61,Bengaluru Wh,2025-09-30
INV00103,P0013,432.00,122,Mumbai Wh,2025-09-30
INV00104,P0049,345.00,104,Pune Wh,2025-09-30
INV00105,P0028,326.00,99,Delhi Wh,2025-09-30
INV00106,P0003,318.00,80,Kolkata Wh,2025-09-30
INV00107,P0073,193.00,56,Mumbai Wh,2025-09-30
INV00108,P0011,392.00,138,Pune Wh,2025-09-30
INV00109,P0067,382.00,133,Pune Wh,2025-09-30
INV00110,P0050,314.00,70,Kolkata Wh,2025-09-30
INV00111,P0034,150.00,63,Kolkata Wh,2025-09-30
INV00112,P0056,487.00,54,Mumbai Wh,2025-09-30
INV00113,P0038,393.00,129,Mumbai Wh,2025-09-30
INV00114,P0064,14.00,48,Mumbai Wh,2025-09-30
INV00115,P0004,283.00,61,Pune Wh,2025-09-30
INV00116,P0036,275.00,66,Delhi Wh,2025-09-30
INV00117,P0052,351.00,42,Delhi Wh,2025-09-30
INV00118,P0060,274.00,117,Kolkata Wh,2025-09-30
INV00009,P0066,,75,Kolkata Wh,2025-03-31
INV00022,P0046,487.00,,Mumbai Wh,2025-03-31
INV00119,P0027,471.00,75,Pune Wh,2025-09-30
INV00120,P0007,28.00,92,Kolkata Wh,2025-09-30
INV00121,P0041,439.00,134,Bengaluru Wh,2025-09-30
INV00122,P0061,259.00,55,Kolkata Wh,2025-09-30
INV00123,P0048,55.00,104,Pune Wh,2025-09-30
INV00124,P0063,328.00,101,Bengaluru Wh,2025-09-30
INV00125,P0062,37.00,58,Mumbai Wh,2025-09-30
INV00126,P0072,428.00,106,Kolkata Wh,2025-09-30
INV00127,P0018,184.00,143,Pune Wh,2025-09-30
INV00128,P0015,496.00,104,Mumbai Wh,2025-09-30
INV00129,P0033,68.00,104,Bengaluru Wh,2025-09-30
INV00130,P0002,248.00,135,Pune Wh,2025-09-30
INV00131,P0024,343.00,142,Pune Wh,2025-09-30
INV00132,P0071,371.00,118,Delhi Wh,2025-09-30
INV00133,P0020,106.00,91,Kolkata Wh,2025-09-30
INV00134,P0065,451.00,149,Kolkata Wh,2025-09-30
INV00135,P0039,226.00,44,Kolkata Wh,2025-09-30
INV00136,P0068,321.00,93,Kolkata Wh,2025-09-30
INV00137,P0066,487.00,63,Bengaluru Wh,2025-09-30
INV00138,P0057,104.00,85,Kolkata Wh,2025-09-30
INV00139,P0032,240.00,145,Delhi Wh,2025-09-30
INV00140,P0043,200.00,134,Delhi Wh,2025-09-30
INV00141,P0031,96.00,50,Kolkata Wh,2025-09-30
INV00142,P0035,450.00,31,Pune Wh,2025-09-30
INV00143,P0051,135.00,33,Kolkata Wh,2025-09-30
INV00144,P0023,443.00,144,Bengaluru Wh,2025-09-30
INV00145,P0008,87.00,59,Pune Wh,2025-09-30
INV00146,P0019,145.00,41,Delhi Wh,2025-09-30
INV00147,P0029,495.00,55,Mumbai Wh,2025-09-30
INV00148,P0045,267.00,84,Mumbai Wh,2025-09-30
INV00149,P0058,137.00,133,Delhi Wh,2025-09-30
INV00150,P0030,226.00,90,Kolkata Wh,2025-09-30
INV00151,P0064,372.00,116,Delhi Wh,2025-12-31
INV00152,P0071,77.00,122,Delhi Wh,2025-12-31
INV00153,P0056,319.00,59,Pune Wh,2025-12-31
INV00154,P0003,29.00,62,Delhi Wh,2025-12-31
INV00155,P0026,109.00,115,Pune Wh,2025-12-31
INV00156,P0049,144.00,37,Kolkata Wh,2025-12-31
INV00157,P0001,182.00,136,Delhi Wh,2025-12-31
INV00158,P0061,226.00,149,Mumbai Wh,2025-12-31
INV00159,P0072,20.00,60,Kolkata Wh,2025-12-31
INV00160,P0066,389.00,124,Bengaluru Wh,2025-12-31
INV00161,P0046,181.00,125,Mumbai Wh,2025-12-31
INV00162,P0074,382.00,46,Bengaluru Wh,2025-12-31
INV00163,P0032,394.00,58,Bengaluru Wh,2025-12-31
INV00164,P0009,73.00,33,Kolkata Wh,2025-12-31
INV00165,P0011,281.00,92,Kolkata Wh,2025-12-31
INV00166,P0017,446.00,114,Pune Wh,2025-12-31
INV00167,P0045,282.00,69,Pune Wh,2025-12-31
INV00168,P0021,189.00,87,Pune Wh,2025-12-31
INV00169,P0018,88.00,105,Pune Wh,2025-12-31
INV00170,P0042,378.00,108,Mumbai Wh,2025-12-31
INV00171,P0010,79.00,46,Delhi Wh,2025-12-31
INV00172,P0027,29.00,102,Bengaluru Wh,2025-12-31
INV00173,P0004,78.00,116,Delhi Wh,2025-12-31
INV00174,P0053,111.00,149,Delhi Wh,2025-12-31
INV00175,P0054,66.00,112,Delhi Wh,2025-12-31
INV00176,P0007,394.00,42,Bengaluru Wh,2025-12-31
INV00177,P0002,463.00,88,Delhi Wh,2025-12-31
INV00178,P0024,359.00,139,Bengaluru Wh,2025-12-31
INV00179,P0048,416.00,39,Bengaluru Wh,2025-12-31
INV00180,P0029,412.00,80,Kolkata Wh,2025-12-31
INV00181,P0030,96.00,97,Kolkata Wh,2025-12-31
INV00182,P0069,476.00,71,Bengaluru Wh,2025-12-31
INV00183,P0047,66.00,127,Kolkata Wh,2025-12-31
INV00184,P0020,257.00,67,Pune Wh,2025-12-31
INV00185,P0028,208.00,79,Kolkata Wh,2025-12-31
INV00186,P0058,35.00,55,Bengaluru Wh,2025-12-31
INV00187,P0031,274.00,90,Kolkata Wh,2025-12-31
INV00188,P0005,115.00,138,Mumbai Wh,2025-12-31
INV00189,P0041,473.00,147,Delhi Wh,2025-12-31
INV00190,P0063,159.00,42,Kolkata Wh,2025-12-31
INV00191,P0022,19.00,94,Pune Wh,2025-12-31
INV00192,P0035,287.00,47,Mumbai Wh,2025-12-31
INV00193,P0057,441.00,73,Delhi Wh,2025-12-31
INV00194,P0015,460.00,83,Mumbai Wh,2025-12-31
INV00195,P0073,478.00,123,Kolkata Wh,2025-12-31
INV00196,P0055,365.00,55,Mumbai Wh,2025-12-31
INV00197,P0033,273.00,39,Bengaluru Wh,2025-12-31
INV00198,P0051,251.00,83,Delhi Wh,2025-12-31
INV00199,P0052,254.00,47,Bengaluru Wh,2025-12-31
INV00200,P0008,304.00,44,Pune Wh,2025-12-31
INV00201,P0001,329.00,81,Kolkata Wh,2025-06-30
