shipment_id,order_id,shipping_date,delivery_date,shipping_mode,delivery_status
SH00170,O00188,2025-05-03,2025-05-12,Same Day,Delayed
SH00171,O00189,2025-02-21,2025-03-02,Express,Delayed
SH00172,O00190,2025-10-06,2025-10-12,Express,Delayed
SH00173,O00191,2025-01-08,2025-01-15,Express,Delayed
SH00174,O00192,2025-04-04,2025-04-09,Standard,On Time
SH00175,O00193,2025-06-22,2025-06-24,Standard,On Time
SH00176,O00195,2025-01-25,2025-02-02,Standard,Delayed
SH00177,O00196,2025-11-23,2025-11-29,Standard,Delayed
SH00178,O00197,2025-01-04,2025-01-14,Economy,Delayed
SH00179,O00198,2025-05-15,2025-05-17,Standard,On Time
SH00180,O00199,2025-08-24,2025-08-26,Economy,On Time
SH00181,O00200,2025-01-15,2025-01-25,Economy,Delayed
SH00182,O00201,2025-12-15,2025-12-20,Standard,On Time
SH00183,O00202,2025-02-16,2025-02-24,Same Day,Delayed
SH00184,O00203,2025-02-04,2025-02-12,Standard,Delayed
SH00185,O00204,2025-03-20,2025-03-23,Standard,On Time
SH00186,O00205,2025-08-09,2025-08-12,Same Day,Delayed
SH00187,O00206,2025-10-29,2025-11-01,Standard,On Time
SH00188,O00207,2025-03-17,2025-03-20,Standard,On Time
SH00189,O00208,2025-10-12,2025-10-18,Economy,On Time
SH00190,O00209,2025-09-09,2025-09-17,Economy,On Time
SH00191,O00210,2025-02-17,2025-02-23,Standard,Delayed
SH00192,O00212,2025-08-04,2025-08-12,Economy,On Time
SH00193,O00213,2025-08-30,2025-09-06,Economy,On Time
SH00194,O00214,2025-02-28,2025-03-08,Express,Delayed
SH00195,O00215,2025-12-18,2025-12-25,Same Day,Delayed
SH00196,O00216,2025-04-18,2025-04-26,Economy,On Time
SH00197,O00217,2025-11-16,2025-11-18,Economy,On Time
SH00198,O00218,2025-02-19,2025-02-21,Express,On Time
SH00199,O00219,2025-03-03,2025-03-08,Standard,On Time
SH00200,O00220,2025-12-06,2025-12-09,Standard,On Time
SH00201,O00221,2025-01-29,2025-01-31,Standard,On Time
SH00202,O00223,2025-09-15,2025-09-21,Same Day,Delayed
SH00203,O00224,2025-01-09,2025-01-19,Express,Delayed
SH00204,O00225,2025-04-25,2025-05-01,Standard,Delayed
SH00205,O00226,2025-12-23,2025-12-28,Standard,On Time
SH00206,O00227,2025-09-12,2025-09-18,Standard,Delayed
SH00207,O00229,2025-07-29,2025-08-03,Same Day,Delayed
SH00208,O00230,2025-10-31,2025-11-06,Express,Delayed
SH00209,O00231,2025-05-09,2025-05-18,Economy,Delayed
SH00210,O00233,2025-08-05,2025-08-15,Standard,Delayed
SH00211,O00234,2025-01-16,2025-01-23,Express,Delayed
SH00212,O00235,2025-01-30,2025-02-06,Standard,Delayed
SH00213,O00237,2025-08-05,2025-08-11,Express,Delayed
SH00214,O00238,2026-01-03,2026-01-13,Standard,Delayed
SH00215,O00239,2025-06-06,2025-06-10,Express,Delayed
SH00216,O00240,2025-01-16,2025-01-20,Economy,On Time
SH00217,O00241,2025-07-08,2025-07-10,Standard,On Time
SH00218,O00242,2025-11-09,2025-11-19,Standard,Delayed
SH00219,O00243,2025-01-10,2025-01-20,Economy,Delayed
SH00220,O00244,2025-01-05,2025-01-12,Express,Delayed
SH00221,O00245,2025-04-24,2025-05-02,Economy,On Time
SH00222,O00246,2025-08-28,2025-09-07,Economy,Delayed
SH00223,O00248,2025-08-29,2025-09-01,Standard,On Time
SH00224,O00249,2025-10-02,2025-10-11,Same Day,Delayed
SH00225,O00250,2025-10-23,2025-10-30,Same Day,Delayed
SH00226,O00251,2025-08-17,2025-08-19,Express,On Time
SH00227,O00252,2025-01-17,2025-01-24,Economy,On Time
SH00228,O00253,2025-07-13,2025-07-16,Express,On Time
SH00229,O00254,2025-05-02,2025-05-07,Express,Delayed
SH00230,O00255,2025-01-29,2025-02-01,Standard,On Time
SH00231,O00256,2025-07-22,2025-07-30,Economy,On Time
SH00232,O00257,2025-02-10,2025-02-13,Standard,On Time
SH00233,O00258,2025-10-03,2025-10-10,Same Day,Delayed
SH00234,O00259,2025-08-22,2025-08-27,Economy,On Time
SH00235,O00260,2025-03-29,2025-04-08,Same Day,Delayed
SH00236,O00261,2025-05-09,2025-05-12,Economy,On Time
SH00237,O00262,2025-10-28,2025-11-06,Standard,Delayed
SH00238,O00263,2025-01-27,2025-02-04,Standard,Delayed
SH00239,O00264,2025-05-27,2025-06-02,Standard,Delayed
SH00240,O00265,2025-01-15,2025-01-24,Standard,Delayed
SH00241,O00266,2025-08-02,2025-08-08,Standard,Delayed
SH00242,O00267,2025-01-28,2025-02-03,Same Day,Delayed
SH00243,O00268,2025-03-12,2025-03-19,Same Day,Delayed
SH00244,O00269,2025-03-09,2025-03-11,Standard,On Time
SH00245,O00270,2025-08-22,2025-08-31,Express,Delayed
SH00246,O00271,2025-04-22,2025-05-01,Economy,Delayed
SH00247,O00272,2025-05-28,2025-05-31,Express,On Time
SH00248,O00273,2025-04-23,2025-04-25,Express,On Time
SH00249,O00274,2025-08-19,2025-08-23,Standard,On Time
SH00250,O00275,2025-04-22,2025-04-24,Standard,On Time
SH00251,O00276,2025-02-06,2025-02-10,Standard,On Time
SH00252,O00277,2025-04-24,2025-04-28,Standard,On Time
SH00253,O00278,2025-09-22,2025-09-25,Standard,On Time
SH00254,O00279,2025-08-27,2025-09-04,Standard,Delayed
SH00255,O00280,2025-03-25,2025-04-01,Standard,Delayed
SH00256,O00281,2025-02-12,2025-02-14,Express,On Time
SH00257,O00282,2025-04-12,2025-04-16,Economy,On Time
SH00258,O00283,2025-01-07,2025-01-12,Express,Delayed
SH00259,O00284,2025-07-01,2025-07-04,Express,On Time
SH00260,O00286,2025-11-17,2025-11-24,Economy,On Time
SH00261,O00287,2025-08-16,2025-08-24,Standard,Delayed
SH00262,O00288,2025-11-12,2025-11-16,Express,Delayed
SH00263,O00289,2026-01-03,2026-01-10,Standard,Delayed
SH00264,O00291,2025-10-18,2025-10-25,Express,Delayed
SH00265,O00292,2025-05-31,2025-06-02,Standard,On Time
SH00266,O00294,2025-07-19,2025-07-29,Express,Delayed
SH00267,O00295,2025-03-12,2025-03-17,Standard,On Time
SH00268,O00296,2025-04-23,2025-04-26,Same Day,Delayed
SH00269,O00297,2025-01-06,2025-01-08,Economy,On Time
SH00270,O00298,2025-12-17,2025-12-21,Same Day,Delayed
SH00271,O00299,2025-11-28,2025-11-30,Economy,On Time
SH00272,O00300,2025-11-15,2025-11-19,Economy,On Time
SH00273,O00302,2025-04-07,2025-04-17,Standard,Delayed
SH00274,O00303,2025-06-04,2025-06-14,Express,Delayed
SH00275,O00304,2025-11-09,2025-11-17,Standard,Delayed
SH00276,O00305,2025-05-18,2025-05-20,Economy,On Time
SH00277,O00306,2025-09-06,2025-09-12,Express,Delayed
SH00278,O00307,2025-09-01,2025-09-06,Standard,On Time
SH00279,O00308,2025-02-03,2025-02-12,Standard,Delayed
SH00280,O00309,2025-02-10,2025-02-15,Standard,On Time
SH00281,O00310,2025-08-19,2025-08-23,Express,Delayed
SH00282,O00311,2025-02-07,2025-02-13,Standard,Delayed
SH00283,O00312,2025-08-13,2025-08-21,Express,Delayed
SH00284,O00313,2025-01-09,2025-01-15,Standard,Delayed
SH00285,O00314,2025-11-19,2025-11-24,Express,Delayed
SH00286,O00315,2025-08-09,2025-08-12,Economy,On Time
SH00287,O00316,2025-03-17,2025-03-20,Economy,On Time
SH00288,O00317,2025-01-06,2025-01-13,Standard,Delayed
SH00289,O00318,2025-12-02,2025-12-04,Standard,On Time
SH00290,O00319,2025-05-17,2025-05-19,Express,On Time
SH00291,O00321,2025-04-05,2025-04-07,Economy,On Time
SH00292,O00322,2025-03-04,2025-03-08,Express,Delayed
SH00293,O00324,2025-12-02,2025-12-12,Same Day,Delayed
SH00294,O00325,2025-07-23,2025-07-26,Standard,On Time
SH00295,O00326,2025-01-28,2025-01-30,Same Day,Delayed
SH00296,O00327,2025-06-23,2025-06-26,Express,On Time
SH00297,O00329,2025-05-15,2025-05-25,Standard,Delayed
SH00298,O00330,2025-11-24,2025-12-02,Express,Delayed
SH00299,O00331,2025-04-30,2025-05-07,Economy,On Time
SH00300,O00332,2025-11-22,2025-11-25,Standard,On Time
SH00301,O00333,2025-10-03,2025-10-09,Express,Delayed
SH00302,O00334,2025-08-02,2025-08-08,Standard,Delayed
SH00303,O00335,2025-08-15,2025-08-21,Standard,Delayed
SH00304,O00337,2025-04-26,2025-05-02,Standard,Delayed
SH00305,O00338,2025-05-21,2025-05-24,Standard,On Time
SH00306,O00340,2025-01-03,2025-01-13,Standard,Delayed
SH00307,O00341,2025-04-03,2025-04-11,Standard,Delayed
SH00308,O00342,2025-05-23,2025-05-30,Standard,Delayed
SH00309,O00343,2025-11-18,2025-11-26,Standard,Delayed
SH00310,O00344,2025-02-08,2025-02-12,Economy,On Time
SH00311,O00345,2025-10-23,2025-11-02,Standard,Delayed
SH00312,O00346,2025-05-22,2025-05-31,Economy,Delayed
SH00313,O00347,2025-12-25,2026-01-04,Economy,Delayed
SH00314,O00348,2025-12-02,2025-12-12,Standard,Delayed
SH00315,O00349,2025-09-17,2025-09-21,Standard,On Time
SH00316,O00350,2025-06-13,2025-06-19,Standard,Delayed
SH00317,O00351,2025-06-29,2025-07-08,Standard,Delayed
SH00318,O00352,2025-01-12,2025-01-19,Standard,Delayed
SH00319,O00353,2025-09-20,2025-09-26,Standard,Delayed
SH00320,O00354,2025-05-19,2025-05-27,Same Day,Delayed
SH00321,O00356,2025-01-16,2025-01-23,Economy,On Time
SH00322,O00357,2025-06-18,2025-06-22,Standard,On Time
SH00323,O00358,2025-05-11,2025-05-21,Express,Delayed
SH00324,O00360,2025-11-20,2025-11-23,Economy,On Time
SH00325,O00361,2025-11-18,2025-11-27,Express,Delayed
SH00326,O00362,2025-04-13,2025-04-23,Standard,Delayed
SH00327,O00363,2025-11-28,2025-12-07,Standard,Delayed
SH00328,O00364,2025-10-03,2025-10-07,Standard,On Time
SH00329,O00365,2025-09-25,2025-10-02,Standard,Delayed
SH00330,O00366,2025-02-08,2025-02-12,Standard,On Time
SH00331,O00367,2025-04-06,2025-04-12,Standard,Delayed
SH00332,O00368,2025-04-08,2025-04-13,Standard,On Time
SH00333,O00369,2025-11-04,2025-11-09,Standard,On Time
SH00334,O00370,2025-03-13,2025-03-22,Standard,Delayed
SH00335,O00371,2025-11-16,2025-11-22,Standard,Delayed
SH00336,O00372,2025-08-27,2025-09-06,Economy,Delayed
SH00337,O00373,2025-12-01,2025-12-08,Standard,Delayed
SH00338,O00375,2025-03-19,2025-03-23,Express,Delayed
SH00339,O00377,2025-01-02,2025-01-08,Standard,Delayed
SH00340,O00378,2025-10-25,2025-11-01,Standard,Delayed
SH00341,O00379,2025-11-17,2025-11-19,Standard,On Time
SH00342,O00380,2025-03-04,2025-03-06,Express,On Time
SH00343,O00381,2025-11-18,2025-11-21,Same Day,Delayed
SH00344,O00382,2025-12-18,2025-12-27,Standard,Delayed
SH00345,O00384,2025-09-26,2025-10-02,Express,Delayed
SH00346,O00385,2025-12-29,2025-12-31,Standard,On Time
SH00347,O00386,2025-08-18,2025-08-21,Express,On Time
SH00348,O00387,2025-09-29,2025-10-07,Standard,Delayed
SH00349,O00388,2025-11-13,2025-11-21,Economy,On Time
SH00350,O00389,2025-10-15,2025-10-22,Standard,Delayed
SH00351,O00390,2025-10-19,2025-10-26,Express,Delayed
SH00352,O00391,2025-08-02,2025-08-12,Standard,Delayed
SH00353,O00392,2025-06-15,2025-06-19,Standard,On Time
SH00354,O00393,2025-01-06,2025-01-15,Standard,Delayed
SH00355,O00394,2025-12-06,2025-12-09,Standard,On Time
SH00356,O00395,2025-03-20,2025-03-28,Express,Delayed
SH00357,O00396,2025-03-05,2025-03-10,Standard,On Time
SH00358,O00397,2025-05-13,2025-05-20,Economy,On Time
SH00359,O00399,2025-08-27,2025-09-06,Standard,Delayed
SH00360,O00400,2025-02-13,2025-02-15,Express,On Time
SH00361,O00401,2025-03-31,2025-04-10,Economy,Delayed
SH00362,O00402,2025-10-24,2025-10-30,Standard,Delayed
SH00363,O00403,2025-11-25,2025-12-04,Same Day,Delayed
SH00364,O00404,2025-10-25,2025-10-31,Standard,Delayed
SH00365,O00405,2025-04-16,2025-04-21,Standard,On Time
SH00366,O00406,2025-01-15,2025-01-25,Standard,Delayed
SH00367,O00407,2025-10-17,2025-10-25,Standard,Delayed
SH00368,O00408,2025-06-29,2025-07-09,Express,Delayed
SH00369,O00409,2025-05-08,2025-05-12,Economy,On Time
SH00370,O00410,2025-12-20,2025-12-27,Economy,On Time
SH00371,O00411,2025-01-25,2025-01-29,Same Day,Delayed
SH00372,O00412,2025-03-07,2025-03-12,Same Day,Delayed
SH00373,O00413,2025-05-26,2025-06-05,Standard,Delayed
SH00374,O00414,2025-06-04,2025-06-14,Standard,Delayed
SH00375,O00415,2025-05-28,2025-05-31,Express,On Time
SH00376,O00416,2025-08-14,2025-08-19,Economy,On Time
SH00377,O00418,2025-04-17,2025-04-27,Express,Delayed
SH00378,O00419,2025-04-16,2025-04-26,Standard,Delayed
SH00379,O00420,2025-02-09,2025-02-11,Express,On Time
SH00380,O00421,2025-07-20,2025-07-29,Standard,Delayed
SH00381,O00422,2025-05-15,2025-05-19,Economy,On Time
SH00382,O00423,2025-03-09,2025-03-16,Express,Delayed
SH00383,O00424,2025-06-29,2025-07-02,Express,On Time
SH00384,O00425,2025-02-12,2025-02-22,Standard,Delayed
SH00385,O00428,2025-06-08,2025-06-17,Express,Delayed
SH00386,O00429,2025-10-19,2025-10-23,Express,Delayed
SH00387,O00430,2025-08-21,2025-08-25,Standard,On Time
SH00388,O00431,2025-06-09,2025-06-14,Express,Delayed
SH00389,O00432,2025-02-08,2025-02-10,Economy,On Time
SH00390,O00433,2025-04-10,2025-04-12,Standard,On Time
SH00391,O00434,2025-10-17,2025-10-25,Express,Delayed
SH00392,O00435,2025-09-14,2025-09-17,Standard,On Time
SH00393,O00436,2025-07-16,2025-07-25,Express,Delayed
SH00394,O00437,2025-03-29,2025-04-08,Express,Delayed
SH00395,O00438,2025-11-19,2025-11-24,Economy,On Time
SH00396,O00439,2025-01-11,2025-01-13,Same Day,Delayed
SH00397,O00440,2025-01-07,2025-01-13,Standard,Delayed
SH00398,O00441,2025-05-05,2025-05-12,Economy,On Time
SH00399,O00442,2025-11-28,2025-12-07,Standard,Delayed
SH00400,O00443,2025-12-21,2025-12-29,Standard,Delayed
SH00401,O00444,2025-05-01,2025-05-09,Express,Delayed
SH00402,O00445,2025-10-23,2025-10-31,Standard,Delayed
SH00403,O00447,2025-11-02,2025-11-05,Standard,On Time
SH00404,O00448,2025-08-17,2025-08-22,Express,Delayed
SH00405,O00450,2025-08-07,2025-08-17,Standard,Delayed
SH00406,O00451,2025-07-04,2025-07-12,Standard,Delayed
SH00407,O00452,2025-01-16,2025-01-25,Economy,Delayed
SH00408,O00454,2025-05-18,2025-05-20,Economy,On Time
SH00409,O00455,2025-09-19,2025-09-29,Standard,Delayed
SH00410,O00456,2025-06-09,2025-06-12,Standard,On Time
SH00411,O00457,2025-02-18,2025-02-27,Standard,Delayed
SH00412,O00458,2025-11-23,2025-12-01,Express,Delayed
SH00413,O00459,2025-11-30,2025-12-10,Express,Delayed
SH00414,O00460,2025-06-25,2025-07-03,Standard,Delayed
SH00415,O00461,2025-05-12,2025-05-16,Same Day,Delayed
SH00416,O00462,2025-04-06,2025-04-11,Express,Delayed
SH00417,O00463,2025-04-26,2025-04-30,Standard,On Time
SH00418,O00464,2025-09-02,2025-09-08,Express,Delayed
SH00419,O00465,2025-10-22,2025-10-24,Express,On Time
SH00420,O00466,2025-10-10,2025-10-17,Standard,Delayed
SH00421,O00467,2025-10-29,2025-11-02,Economy,On Time
SH00422,O00468,2025-10-13,2025-10-20,Express,Delayed
SH00423,O00469,2025-03-11,2025-03-16,Standard,On Time
SH00424,O00470,2025-05-30,2025-06-02,Same Day,Delayed
SH00425,O00471,2025-01-14,2025-01-18,Express,Delayed
SH00426,O00472,2025-09-14,2025-09-20,Same Day,Delayed
SH00427,O00473,2025-11-28,2025-12-07,Economy,Delayed
SH00428,O00474,2025-12-29,2026-01-02,Economy,On Time
SH00429,O00475,2025-02-10,2025-02-14,Standard,On Time
SH00430,O00476,2025-05-15,2025-05-24,Standard,Delayed
SH00431,O00477,2025-07-21,2025-07-23,Express,On Time
SH00432,O00478,2025-01-24,2025-01-29,Economy,On Time
SH00433,O00479,2025-11-02,2025-11-06,Standard,On Time
SH00434,O00480,2025-12-13,2025-12-23,Express,Delayed
SH00435,O00481,2025-10-31,2025-11-09,Express,Delayed
SH00436,O00482,2025-12-30,2026-01-02,Express,On Time
SH00437,O00483,2025-08-07,2025-08-15,Express,Delayed
SH00438,O00484,2025-05-22,2025-05-28,Economy,On Time
SH00439,O00486,2025-07-31,2025-08-04,Economy,On Time
SH00440,O00487,2025-04-23,2025-05-01,Standard,Delayed
SH00441,O00488,2025-04-16,2025-04-18,Express,On Time
SH00442,O00489,2025-11-14,2025-11-20,Economy,On Time
SH00443,O00490,2025-06-23,2025-06-27,Standard,On Time
