order_id,order_date,customer_id,product_id,supplier_id,quantity,sales_amount,cost_amount,order_status,profit
O00174,2025-07-02,C0127,P0028,S008,13,96968.92,68365.70,Delivered,28603.22
O00175,2025-12-02,C0007,P0062,S015,1,5093.83,4153.43,Delivered,940.40
O00176,2025-04-05,C0084,P0033,S007,1,3602.62,2953.47,Delivered,649.15
O00177,2025-01-08,C0132,P0035,S006,5,52993.99,38477.10,Cancelled,14516.89
O00178,2025-12-26,C0134,P0052,S001,6,69945.42,46039.20,Processing,23906.22
O00179,2025-07-03,C0058,P0034,S015,3,10900.06,6828.33,Delivered,4071.73
O00180,2025-10-08,C0022,P0041,S023,13,76084.71,49475.66,Delivered,26609.05
O00181,2025-07-14,C0127,P0051,S007,9,146107.90,102029.31,Delivered,44078.59
O00182,2025-12-18,C0003,P0047,S025,12,42450.13,38455.56,Delivered,3994.57
O00183,2025-07-14,C0127,P0058,S017,10,33815.52,26536.10,Delivered,7279.42
O00184,2025-06-04,C0041,P0075,S002,14,87791.41,66310.44,Delivered,21480.97
O00185,2025-04-03,C0106,P0057,S009,15,48471.66,38393.10,Delivered,10078.56
O00186,2025-06-09,C0014,P0023,S009,6,72848.32,60720.42,Delivered,12127.90
O00187,2025-03-02,C0012,P0048,S013,4,59930.78,44831.56,Returned,15099.22
O00188,2025-05-02,C0087,P0022,S006,12,187151.85,139038.00,Delivered,48113.85
O00189,2025-02-20,C0012,P0017,S006,7,124415.28,82487.37,Delivered,41927.91
O00190,2025-10-04,C0141,P0069,S020,8,15634.72,12956.08,Delivered,2678.64
O00191,2025-01-05,C0025,P0011,S020,9,87656.36,68147.46,Delivered,19508.90
O00192,2025-04-02,C0045,P0015,S021,13,98524.28,69131.92,Delivered,29392.36
O00193,2025-06-19,C0122,P0035,S003,11,110658.47,84649.62,Returned,26008.85
O00194,2025-11-13,C0147,P0033,S017,6,21872.72,17720.82,Cancelled,4151.90
O00195,2025-01-22,C0055,P0016,S017,15,69715.10,60075.30,Delivered,9639.80
O00196,2025-11-22,C0100,P0034,S012,6,21659.16,13656.66,Delivered,8002.50
O00197,2025-01-01,C0136,P0066,S016,8,133533.53,92913.68,Delivered,40619.85
O00198,2025-05-13,C0119,P0040,S015,12,17334.78,14308.92,Delivered,3025.86
O00199,2025-08-21,C0053,P0028,S013,5,39093.79,26294.50,Processing,12799.29
O00200,2025-01-12,C0032,P0047,S023,14,51025.26,44864.82,Delivered,6160.44
O00202,2025-02-15,C0044,P0070,S017,12,126261.26,84101.64,Delivered,42159.62
O00203,2025-02-03,C0082,P0073,S003,3,11722.39,8805.03,Delivered,2917.36
O00204,2025-03-19,C0146,P0020,S015,13,112654.05,84386.64,Returned,28267.41
O00205,2025-08-06,C0150,P0001,S004,6,44851.60,28780.98,Delivered,16070.62
O00206,2025-10-28,C0037,P0072,S004,2,24474.53,16380.30,Processing,8094.23
O00207,2025-03-14,C0096,P0063,S018,6,50389.47,36017.10,Delivered,14372.37
O00208,2025-10-09,C0056,P0067,S017,13,96319.27,66810.90,Processing,29508.37
O00209,2025-09-06,C0105,P0004,S019,6,33223.17,26207.40,Delivered,7015.77
O00210,2025-02-16,C0059,P0058,S011,8,28806.01,21228.88,Delivered,7577.13
O00211,2025-05-01,C0131,P0025,S020,7,14966.64,12224.80,Cancelled,2741.84
O00212,2025-08-02,C0035,P0047,S003,8,29068.19,25637.04,Delivered,3431.15
O00213,2025-08-27,C0093,P0038,S008,14,114620.73,95701.76,Delivered,18918.97
O00214,2025-02-25,C0097,P0015,S014,9,68247.82,47860.56,Delivered,20387.26
O00215,2025-12-16,C0135,P0063,S001,6,52892.73,36017.10,Processing,16875.63
O00216,2025-04-17,C0076,P0021,S014,14,172162.45,139322.96,Delivered,32839.49
O00217,2025-11-15,C0049,P0057,S002,3,9749.00,7678.62,Returned,2070.38
O00218,2025-02-17,C0094,P0053,S023,10,110794.10,81583.00,Delivered,29211.10
O00219,2025-03-02,C0024,P0046,S004,3,53060.65,34184.49,Delivered,18876.16
O00220,2025-12-03,C0148,P0014,S024,11,6492.42,4715.04,Processing,1777.38
O00221,2025-01-26,C0037,P0017,S019,12,201178.52,141406.92,Processing,59771.60
O00222,2025-10-19,C0004,P0039,S006,1,1902.94,1529.96,Cancelled,372.98
O00223,2025-09-14,C0108,P0009,S025,11,46185.51,34637.46,Returned,11548.05
O00224,2025-01-08,C0126,P0006,S001,15,184283.45,152987.55,Delivered,31295.90
O00225,2025-04-23,C0020,P0023,S017,13,155165.61,131560.91,Delivered,23604.70
O00226,2025-12-21,C0050,P0059,S008,15,11358.14,8454.90,Delivered,2903.24
O00227,2025-09-10,C0096,P0046,S019,5,89508.39,56974.15,Processing,32534.24
O00228,2025-06-29,C0105,P0038,S021,14,120457.79,95701.76,Cancelled,24756.03
O00229,2025-07-26,C0117,P0014,S001,4,2357.41,1714.56,Delivered,642.85
O00230,2025-10-30,C0098,P0072,S005,9,111761.84,73711.35,Delivered,38050.49
O00231,2025-05-07,C0066,P0062,S016,15,74237.69,62301.45,Delivered,11936.24
O00232,2025-02-25,C0079,P0035,S006,9,95032.86,69258.78,Cancelled,25774.08
O00233,2025-08-02,C0006,P0019,S008,15,10844.41,8431.95,Delivered,2412.46
O00234,2025-01-14,C0039,P0030,S013,14,19569.00,14873.46,Delivered,4695.54
O00235,2025-01-28,C0115,P0025,S016,5,10397.19,8732.00,Delivered,1665.19
O00236,2025-03-19,C0125,P0040,S003,10,14098.61,11924.10,Cancelled,2174.51
O00237,2025-08-04,C0012,P0014,S019,4,2348.62,1714.56,Delivered,634.06
O00238,2025-12-31,C0131,P0026,S012,7,119662.85,81462.43,Delivered,38200.42
O00239,2025-06-03,C0018,P0022,S016,15,223208.60,173797.50,Delivered,49411.10
O00240,2025-01-14,C0040,P0048,S011,6,88066.07,67247.34,Delivered,20818.73
O00241,2025-07-06,C0021,P0051,S010,4,65709.46,45346.36,Processing,20363.10
O00242,2025-11-08,C0143,P0003,S025,13,46555.43,33619.69,Returned,12935.74
O00243,2025-01-07,C0099,P0042,S020,13,32965.26,28423.59,Delivered,4541.67
O00244,2025-01-03,C0026,P0019,S004,15,10302.83,8431.95,Delivered,1870.88
O00245,2025-04-21,C0008,P0073,S012,10,39593.14,29350.10,Delivered,10243.04
O00246,2025-08-26,C0100,P0028,S023,2,14917.21,10517.80,Delivered,4399.41
O00247,2025-12-29,C0087,P0045,S002,1,8848.68,7832.31,Cancelled,1016.37
O00248,2025-08-27,C0042,P0071,S024,4,34400.97,27144.84,Delivered,7256.13
O00249,2025-10-01,C0014,P0063,S022,4,32685.11,24011.40,Delivered,8673.71
O00250,2025-10-21,C0078,P0073,S019,13,50238.92,38155.13,Delivered,12083.79
O00251,2025-08-15,C0002,P0019,S025,1,728.80,562.13,Delivered,166.67
O00252,2025-01-15,C0119,P0047,S005,6,21595.91,19227.78,Delivered,2368.13
O00253,2025-07-11,C0037,P0014,S008,4,2260.26,1714.56,Delivered,545.70
O00254,2025-04-29,C0069,P0038,S007,1,8181.90,6835.84,Delivered,1346.06
O00255,2025-01-28,C0041,P0053,S014,1,10801.42,8158.30,Processing,2643.12
O00256,2025-07-21,C0062,P0061,S024,15,96167.13,70293.30,Delivered,25873.83
O00257,2025-02-08,C0060,P0036,S023,13,132989.82,102955.06,Delivered,30034.76
O00258,2025-09-30,C0125,P0040,S003,1,1387.21,1192.41,Returned,194.80
O00259,2025-08-19,C0111,P0030,S018,8,11263.74,8499.12,Delivered,2764.62
O00260,2025-03-27,C0014,P0009,S016,10,44697.59,31488.60,Processing,13208.99
O00261,2025-05-06,C0084,P0064,S023,8,52260.37,33961.68,Delivered,18298.69
O00262,2025-10-27,C0130,P0033,S019,2,6768.11,5906.94,Delivered,861.17
O00263,2025-01-25,C0070,P0052,S019,11,120038.05,84405.20,Delivered,35632.85
O00264,2025-05-25,C0145,P0014,S018,13,7990.06,5572.32,Delivered,2417.74
O00265,2025-01-13,C0123,P0075,S020,7,42321.26,33155.22,Delivered,9166.04
O00266,2025-07-31,C0089,P0053,S016,14,163371.96,114216.20,Returned,49155.76
O00267,2025-01-25,C0028,P0059,S008,8,6219.86,4509.28,Delivered,1710.58
O00268,2025-03-09,C0066,P0041,S001,8,47479.66,30446.56,Delivered,17033.10
O00269,2025-03-08,C0005,P0068,S017,11,110607.95,76488.50,Delivered,34119.45
O00270,2025-08-21,C0045,P0068,S012,10,98500.83,69535.00,Delivered,28965.83
O00271,2025-04-19,C0047,P0008,S021,15,71514.35,54427.05,Delivered,17087.30
O00272,2025-05-26,C0031,P0002,S011,11,144761.07,122839.20,Delivered,21921.87
O00273,2025-04-21,C0139,P0041,S005,13,73999.22,49475.66,Processing,24523.56
O00274,2025-08-16,C0010,P0055,S012,7,94919.91,69059.27,Returned,25860.64
O00275,2025-04-21,C0118,P0016,S017,5,24978.02,20025.10,Delivered,4952.92
O00276,2025-02-03,C0014,P0062,S006,1,5426.17,4153.43,Delivered,1272.74
O00277,2025-04-21,C0080,P0048,S001,12,179077.25,134494.68,Returned,44582.57
O00278,2025-09-21,C0093,P0030,S005,9,12389.97,9561.51,Processing,2828.46
O00279,2025-08-24,C0010,P0012,S025,13,15574.34,12274.60,Delivered,3299.74
O00280,2025-03-24,C0076,P0035,S014,7,74385.91,53867.94,Returned,20517.97
O00281,2025-02-11,C0094,P0011,S005,2,18263.38,15143.88,Delivered,3119.50
O00282,2025-04-11,C0105,P0064,S022,6,40729.18,25471.26,Returned,15257.92
O00283,2025-01-06,C0001,P0050,S024,2,22299.69,14857.26,Delivered,7442.43
O00284,2025-06-29,C0133,P0021,S001,15,185890.53,149274.60,Delivered,36615.93
O00285,2025-10-09,C0020,P0069,S018,1,2045.32,1619.51,Cancelled,425.81
O00286,2025-11-16,C0008,P0048,S016,14,218286.86,156910.46,Delivered,61376.40
O00287,2025-08-14,C0001,P0020,S009,7,58014.53,45438.96,Delivered,12575.57
O00288,2025-11-11,C0057,P0067,S019,13,91314.07,66810.90,Delivered,24503.17
O00289,2025-12-31,C0064,P0044,S022,2,11836.41,8442.04,Returned,3394.37
O00290,2025-08-17,C0118,P0033,S005,13,43364.11,38395.11,Cancelled,4969.00
O00291,2025-10-16,C0028,P0073,S002,14,55574.18,41090.14,Processing,14484.04
O00292,2025-05-30,C0121,P0061,S015,14,90060.85,65607.08,Delivered,24453.77
O00293,2025-10-04,C0107,P0009,S007,2,9033.96,6297.72,Cancelled,2736.24
O00294,2025-07-17,C0049,P0068,S004,13,131947.83,90395.50,Delivered,41552.33
O00295,2025-03-11,C0120,P0035,S001,11,113026.05,84649.62,Delivered,28376.43
O00296,2025-04-22,C0044,P0065,S013,5,3869.14,2831.60,Processing,1037.54
O00297,2025-01-04,C0056,P0008,S020,14,63687.14,50798.58,Delivered,12888.56
O00298,2025-12-16,C0111,P0045,S022,5,44537.15,39161.55,Delivered,5375.60
O00299,2025-11-27,C0134,P0047,S007,7,26108.06,22432.41,Delivered,3675.65
O00300,2025-11-14,C0108,P0040,S015,1,1395.16,1192.41,Delivered,202.75
O00301,2025-12-16,C0148,P0054,S023,8,19429.31,13033.20,Cancelled,6396.11
O00302,2025-04-05,C0114,P0046,S014,3,48988.63,34184.49,Delivered,14804.14
O00303,2025-06-01,C0078,P0047,S023,4,14251.36,12818.52,Processing,1432.84
O00304,2025-11-07,C0130,P0015,S019,15,108954.81,79767.60,Delivered,29187.21
O00305,2025-05-17,C0037,P0019,S022,9,6231.91,5059.17,Delivered,1172.74
O00306,2025-09-04,C0020,P0026,S024,4,66566.38,46549.96,Delivered,20016.42
O00307,2025-08-31,C0026,P0052,S020,10,115669.85,76732.00,Processing,38937.85
O00308,2025-01-31,C0029,P0022,S024,12,192840.27,139038.00,Delivered,53802.27
O00309,2025-02-09,C0001,P0021,S018,15,194180.46,149274.60,Returned,44905.86
O00310,2025-08-17,C0119,P0051,S010,5,82275.72,56682.95,Delivered,25592.77
O00311,2025-02-05,C0035,P0038,S009,7,57723.36,47850.88,Delivered,9872.48
O00312,2025-08-11,C0059,P0020,S025,4,32252.99,25965.12,Delivered,6287.87
O00313,2025-01-06,C0069,P0029,S008,14,51612.21,43193.36,Returned,8418.85
O00314,2025-11-18,C0012,P0051,S010,1,16975.53,11336.59,Processing,5638.94
O00315,2025-08-08,C0020,P0004,S017,9,47079.26,39311.10,Delivered,7768.16
O00316,2025-03-16,C0043,P0055,S002,4,53704.81,39462.44,Delivered,14242.37
O00317,2025-01-04,C0126,P0071,S006,9,79378.05,61075.89,Processing,18302.16
O00318,2025-12-01,C0050,P0028,S005,6,45522.45,31553.40,Processing,13969.05
O00319,2025-05-14,C0029,P0004,S009,15,81559.38,65518.50,Delivered,16040.88
O00320,2025-04-28,C0039,P0022,S005,1,14694.03,11586.50,Cancelled,3107.53
O00321,2025-04-04,C0038,P0045,S018,12,107116.75,93987.72,Returned,13129.03
O00322,2025-03-03,C0084,P0067,S020,3,22014.62,15417.90,Delivered,6596.72
O00323,2025-07-13,C0128,P0066,S009,11,169056.14,127756.31,Cancelled,41299.83
O00324,2025-12-01,C0126,P0034,S017,2,6878.00,4552.22,Delivered,2325.78
O00325,2025-07-22,C0045,P0055,S017,9,118301.23,88790.49,Delivered,29510.74
O00326,2025-01-26,C0052,P0001,S012,15,106810.65,71952.45,Delivered,34858.20
O00327,2025-06-22,C0080,P0072,S007,12,135305.06,98281.80,Delivered,37023.26
O00328,2025-10-27,C0124,P0038,S003,1,8560.13,6835.84,Cancelled,1724.29
O00329,2025-05-13,C0119,P0006,S010,13,164912.14,132589.21,Delivered,32322.93
O00330,2025-11-22,C0008,P0025,S002,14,30261.66,24449.60,Delivered,5812.06
O00331,2025-04-28,C0085,P0017,S025,9,154139.58,106055.19,Delivered,48084.39
O00332,2025-11-20,C0129,P0061,S003,9,62024.94,42175.98,Delivered,19848.96
O00333,2025-10-02,C0008,P0012,S016,8,9928.03,7553.60,Delivered,2374.43
O00334,2025-07-31,C0096,P0006,S002,8,97051.00,81593.36,Delivered,15457.64
O00335,2025-08-13,C0102,P0027,S024,11,8586.40,6475.70,Delivered,2110.70
O00336,2025-01-20,C0005,P0008,S010,14,63683.35,50798.58,Cancelled,12884.77
O00337,2025-04-23,C0086,P0065,S006,12,8631.68,6795.84,Processing,1835.84
O00338,2025-05-20,C0034,P0057,S022,1,3302.07,2559.54,Delivered,742.53
O00339,2025-02-16,C0055,P0040,S011,11,15179.44,13116.51,Cancelled,2062.93
O00340,2025-01-01,C0119,P0014,S023,8,4783.95,3429.12,Delivered,1354.83
O00341,2025-03-31,C0114,P0035,S007,10,103202.55,76954.20,Delivered,26248.35
O00342,2025-05-22,C0145,P0048,S015,14,219412.47,156910.46,Delivered,62502.01
O00343,2025-11-16,C0026,P0056,S006,3,43626.71,29589.24,Delivered,14037.47
O00344,2025-02-07,C0136,P0049,S020,11,105992.80,71704.49,Delivered,34288.31
O00345,2025-10-20,C0047,P0013,S009,7,7246.38,4929.05,Processing,2317.33
O00346,2025-05-19,C0113,P0061,S022,11,71092.27,51548.42,Delivered,19543.85
O00347,2025-12-22,C0076,P0049,S020,15,138840.69,97778.85,Processing,41061.84
O00348,2025-11-29,C0072,P0046,S012,1,16300.78,11394.83,Delivered,4905.95
O00349,2025-09-16,C0089,P0062,S019,1,4962.53,4153.43,Processing,809.10
O00350,2025-06-10,C0046,P0008,S020,10,48074.94,36284.70,Delivered,11790.24
O00351,2025-06-27,C0033,P0043,S003,13,176196.67,119392.52,Delivered,56804.15
O00352,2025-01-10,C0001,P0020,S015,5,43621.41,32456.40,Delivered,11165.01
