customer_id,customer_name,segment,city,state,region
C0014,Customer 014,Small Business,Chennai,Tamil Nadu,South
C0015,Customer 015,Small Business,Hyderabad,Telangana,South
C0016,Customer 016,Consumer,Panaji,Goa,West
C0017,Customer 017,Small Business,Kolkata,West Bengal,East
C0018,Customer 018,Consumer,Kolkata,West Bengal,North
C0019,Customer 019,Consumer,Bhubaneswar,Odisha,East
C0020,Customer 020,Corporate,Ahmedabad,Gujarat,West
C0021,Customer 021,Corporate,Bengaluru,Karnataka,South
C0022,Customer 022,Small Business,Panipat,Haryana,North
C0023,Customer 023,Consumer,Jaipur,Rajasthan,West
C0024,Customer 024,Small Business,Jaipur,Rajasthan,West
C0025,Customer 025,Corporate,Bengaluru,Karnataka,South
C0026,Customer 026,Corporate,Panaji,Goa,West
C0027,Customer 027,Corporate,Chennai,Tamil Nadu,South
C0028,Customer 028,Corporate,Kochi,Kerala,South
C0030,Customer 030,Corporate,Kochi,Kerala,South
C0031,Customer 031,Corporate,Chennai,Tamil Nadu,South
C0032,Customer 032,Small Business,Ranchi,Jharkhand,East
C0033,Customer 033,Small Business,Ahmedabad,Gujarat,West
C0034,Customer 034,Corporate,Mumbai,Maharashtra,West
C0035,Customer 035,Consumer,Mumbai,Maharashtra,West
C0036,Customer 036,Consumer,Hyderabad,Telangana,South
C0037,Customer 037,Consumer,Ahmedabad,Gujarat,West
C0038,Customer 038,Consumer,Panaji,Goa,West
C0039,Customer 039,Small Business,Ludhiana,Punjab,North
C0040,Customer 040,Consumer,Ludhiana,Punjab,North
C0042,Customer 042,Small Business,Panaji,Goa,West
C0043,Customer 043,Consumer,Patna,Bihar,East
C0044,Customer 044,Small Business,Jaipur,Rajasthan,West
C0045,Customer 045,Consumer,New Delhi,Delhi,North
C0140,Customer 140,Consumer,Jaipur,Rajasthan,West
C0141,Customer 141,Corporate,Mumbai,Maharashtra,West
C0142,Customer 142,Consumer,Panipat,Haryana,North
C0143,Customer 143,Consumer,Hyderabad,Telangana,South
C0144,Customer 144,Consumer,Noida,Uttar Pradesh,North
C0145,Customer 145,Consumer,Panipat,Haryana,North
C0146,Customer 146,Consumer,Patna,Bihar,East
C0147,Customer 147,Consumer,Jaipur,Rajasthan,West
C0148,Customer 148,Small Business,Noida,Uttar Pradesh,North
C0149,Customer 149,Small Business,Noida,Uttar Pradesh,North
C0150,Customer 150,Consumer,Ahmedabad,Gujarat,West
C0056,Customer 056,Small Business,Bhubaneswar,Odisha,East
C0029,Customer 029,Corporate,Unknown,Delhi,North
